,dominant1,dominant2,Unique_ID,sample_name,expedition,tube_number,coral_tag,TotalSeq
534,ASV4,ASV10,248_2016a,1044_2016a_1,2016a,248,1044,5926
535,ASV10,ASV4,249_2016a,1044_2016a,2016a,249,1044,37785
558,ASV4,ASV10,63_2016b,1044_2016b,2016b,63,1044,13493
339,ASV4,,42_2017,1045_2017,2017,42,1045,47753
536,ASV4,,250_2016a,1045_2016a_1,2016a,250,1045,8473
537,ASV4,,251_2016a,1045_2016a,2016a,251,1045,4457
557,ASV4,,62_2016b,1045_2016b,2016b,62,1045,21328
538,ASV10,ASV9,252_2016a,1046_2016a_1,2016a,252,1046,4598
342,ASV4,ASV10,43_2017,1047_2017,2017,43,1047,32120
540,ASV4,ASV10,254_2016a,1047_2016a_1,2016a,254,1047,1271
541,ASV4,ASV10,255_2016a,1047_2016a,2016a,255,1047,44451
556,ASV10,ASV4,61_2016b,1047_2016b,2016b,61,1047,3072
542,ASV9,ASV22,257_2016a,1048_2016a_1,2016a,257,1048,17472
543,ASV9,ASV22,258_2016a,1048_2016a,2016a,258,1048,16356
555,ASV9,,60_2016b,1048_2016b,2016b,60,1048,18384
36,ASV19,,132_2016b,1053_2016b,2016b,132,1053,341
228,ASV19,,263_2017,1053_2017,2017,263,1053,16552
232,ASV19,,269_2016a,1053_2016a,2016a,269,1053,1326
94,ASV26,,163_2019,163_2019,2019,163,1066,64
253,ASV2,ASV49,29_2017,1066_2017,2017,29,1066,10508
564,ASV81,ASV26,71_2016b,1066_2016b,2016b,71,1066,7575
384,ASV2,,94_2017,1067_2017,2017,94,1067,10855
575,ASV2,,95_2016b,1067_2016b,2016b,95,1067,1792
34,ASV2,ASV76,13_2017,1077_2017,2017,13,1077,25151
676,ASV2,ASV76,146_2018,146_2018,2018,146,1077,980
3,ASV9,ASV15,102_2017,1086_2017,2017,102,1086,1428
48,ASV15,ASV9,140_2018,140_2018,2018,140,1086,93
169,ASV9,,117_2015a - Post,1086_2015a,2015a - Post,117,1086,3048
260,ASV15,ASV9,3_2019,3_2019,2019,3,1086,157
288,ASV9,,168_2015b,1086_2015b,2015b,168,1086,8980
328,ASV9,ASV15,374_2015c_1,1086_2015c_1,2015c,374,1086,1022
453,ASV9,,374_2015c,1086_2015c,2015c,374,1086,680
470,ASV9,ASV15,30_2016a,1086_2016a,2016a,30,1086,1098
598,ASV9,ASV15,159_2016b,1086_2016b,2016b,159,1086,5297
285,ASV4,ASV9,32_2017,1091_2017,2017,32,1091,12273
326,ASV2,,37_2017,1094_2017,2017,37,1094,22623
336,ASV2,,41_2018,41_2018,2018,41,1094,122
330,ASV25,,38_2017,1095_2017,2017,38,1095,7866
347,ASV26,,47_2017,1097_2017,2017,47,1097,17040
681,ASV82,,47_2017_1,47_2017_1,2017,47,1097,356
353,ASV15,,49_2017,1099_2017,2017,49,1099,21014
674,ASV15,,176_2018,176_2018,2018,176,1099,54
358,ASV2,ASV15,53_2017,1101_2017,2017,53,1101,1605
677,ASV2,ASV15,92_2018,92_2018,2018,92,1101,989
368,ASV7,,62_2017,1108_2017,2017,62,1108,3587
18,ASV7,ASV6,119_2018,119_2018,2018,119,1112,95
370,ASV7,ASV6,67_2017,1112_172_2017,2017,67,1112,7298
7,ASV7,,108_2017,1117_2017,2017,108,1117,897
15,ASV7,,117_2017,1118_2017,2017,117,1118,7020
669,ASV7,,137_2018,137_2018,2018,137,1118,46
679,ASV19,,304_2019_2,304_2019_2,2019,304,1118,19
28,ASV4,,124_2017,1123_2017,2017,124,1123,1368
267,ASV4,,303_2019,303_2019,2019,303,1123,3
32,ASV10,,128_2017,1126_2017,2017,128,1126,2799
41,ASV2,ASV27,138_2017,1136_2017,2017,138,1136,6478
672,ASV27,,229_2019,229_2019,2019,229,1136,3
42,ASV6,,139_2017,1137_2017,2017,139,1137,236701
49,ASV2,,140_2017,1138_2017,2017,140,1138,114623
55,ASV10,ASV4,142_2017,1140_2017,2017,142,1140,23484
64,ASV4,,150_2018,150_2018,2018,150,1140,16
166,ASV10,,213_2019,213_2019,2019,213,1140,53
56,ASV7,ASV6,144_2017,1142_2017,2017,144,1142,33436
59,ASV6,ASV19,146_2017,1144_2017,2017,146,1144,4784
63,ASV25,,149_2017,1146_2017,2017,149,1146,11765
65,ASV10,,150_2017,1148_2017,2017,150,1147,11107
67,ASV16,,151_2017,1149_2017,2017,151,1148,16746
72,ASV19,,156_2017,867_2017,2017,156,1150,3748
76,ASV2,,159_2017,1147_2017,2017,159,1152,8701
88,ASV90,ASV16,160_2017,1153_2017,2017,160,1153,11927
93,ASV15,ASV4,162_2017,1155_2017,2017,162,1155,15537
95,ASV17,,163_2017,1156_2017,2017,163,1156,15655
101,ASV10,ASV4,169_2017,1162_2017,2017,169,1162,22437
117,ASV45,ASV6,175_2017,151_1166_2017,2017,175,1166,26244
198,ASV6,,246_2018,246_2018,2018,246,1166,4
206,ASV6,,250_2019,250_2019,2019,250,1166,30
485,ASV45,ASV6,81_2016a,151_1166_2016a,2016a,81,1166,939
585,ASV6,,123_2016b,151_1166_2016b,2016b,123,1166,9804
124,ASV19,,179_2017,1170_2017,2017,179,1170,20370
129,ASV7,,181_2017,1172_2017,2017,181,1172,24171
136,ASV26,,185_2017,1174_2017,2017,185,1174,21857
196,ASV26,,245_2019,245_2019,2019,245,1174,33
366,ASV26,,60_2018,60_2018,2018,60,1174,33
104,ASV26,,187_2017_1,187_2017_1,2017,187,1175,10
141,ASV17,ASV49,187_2017,1175_2017,2017,187,1175,22623
151,ASV7,,193_2017,1181_2017,2017,193,1181,4665
105,ASV9,ASV4,194_2017_1,194_2017_1,2017,194,1182,70
153,ASV9,ASV4,194_2017,1182_2017,2017,194,1182,3323
118,ASV4,ASV10,176_2019,176_2019,2019,176,1194,89
182,ASV2,,230_2017,1194_2017,2017,230,1194,5766
183,ASV9,ASV4,231_2017,1195_2017,2017,231,1195,5429
188,ASV28,ASV7,237_2017,1198_2017,2017,237,1198,17062
671,ASV7,,198_2018,198_2018,2018,198,1198,21
193,ASV116,ASV26,240_2017,1200_2017,2017,240,1200,19921
203,ASV9,,249_2017,1204_2017,2017,249,1204,2490
207,ASV6,,250_2017,1205_2017,2017,250,1205,11919
209,ASV10,ASV42,251_2017,1206_2017,2017,251,1206,10374
210,ASV77,ASV16,252_2017,1207_2017,2017,252,1207,3923
248,ASV141,,283_2017,1209_2017,2017,283,1209,11654
250,ASV69,ASV94,284_2017,1210_2017,2017,284,1210,13243
257,ASV46,ASV39,297_2017,1222_2017,2017,297,1222,9703
259,ASV6,,298_2017,1223_2017,2017,298,1223,9034
287,ASV10,ASV4,321_2017,1230_2017,2017,321,1230,35862
289,ASV7,,323_2017,1232_2017,2017,323,1232,42349
109,ASV7,,325_2017_1,325_2017_1,2017,325,1234,66
290,ASV7,,325_2017,1234_2017,2017,325,1234,25048
292,ASV14,,329_2017,1238_2017,2017,329,1238,48368
110,ASV7,,330_2017_1,330_2017_1,2017,330,1239,129
294,ASV7,,330_2017,1239_2017,2017,330,1239,53553
297,ASV25,,334_2017,1243_2017,2017,334,1243,25392
299,ASV6,,335_2017,1244_2017,2017,335,1244,8962
300,ASV32,ASV6,336_2017,1245_2017,2017,336,1245,26511
301,ASV14,,337_2017,1246_2017,2017,337,1246,3149
302,ASV17,,338_2017,1247_2017,2017,338,1247,19462
304,ASV2,,340_2017,1249_2017,2017,340,1249,3525
306,ASV14,ASV19,341_2017,1250_2017,2017,341,1250,4948
308,ASV9,ASV46,344_2017,1253_2017,2017,344,1253,15348
309,ASV77,,346_2017,1255_2017,2017,346,1255,20307
310,ASV16,ASV67,347_2017,1256_2017,2017,347,1256,24830
311,ASV165,ASV6,348_2017,1257_2017,2017,348,1257,8831
271,ASV32,,305_2017,580_2017,2017,305,1264,9341
145,ASV2,,290_2019,290_2019,2019,290,1352,433
146,ASV7,,294_2019,294_2019,2019,294,1353,1175
147,ASV4,,295_2019,295_2019,2019,295,1354,28
356,ASV4,ASV15,50_2019,50_2019,2019,50,1376,430
160,ASV2,,204_2019,204_2019,2019,204,1422,53
261,ASV2,,3_2017,5_2017,2017,3,1422,23156
546,ASV2,,9_2016b,5_2016b,2016b,9,1422,8650
17,ASV14,,1_2014,1_2014,2014,1,1_1425,24846
122,ASV14,,1_2015a - Pre,1_2015a_1,2015a - Pre,1,1_1425,10912
152,ASV7,,82_2015a - Post,1_2015a,2015a - Post,82,1_1425,3169
162,ASV14,,206_2019,206_2019,2019,206,1_1425,31
212,ASV7,,1_2015b,1_2015b,2015b,1,1_1425,11815
316,ASV14,,5_2017_FQ,KI17FQ5,2017,5,1_1425,16
355,ASV14,,5_2017,1_2017,2017,5,1_1425,27480
422,ASV14,,1_2015c,1_2015c,2015c,1,1_1425,12345
473,ASV14,,41_2016a,1_2016a,2016a,41,1_1425,5685
545,ASV14,,7_2016b,1_2016b,2016b,7,1_1425,6176
567,ASV2,,75_2016b,1007_2016b,2016b,75,1007b,2673
375,ASV6,,76_2017,1010_2017,2017,76,1010b,1157
568,ASV6,,77_2016b,1010_2016b,2016b,77,1010b,9165
523,ASV17,,228_2016a,1016_2016a,2016a,228,1016_1346,36349
675,ASV41,ASV2,37_2018,37_2018,2018,37,1016a_1346,230
322,ASV7,,36_2018,36_2018,2018,36,1016b,36
378,ASV7,ASV6,83_2017,1016b_2017,2017,83,1016b,744
571,ASV7,ASV46,87_2016b,1016b_2016b,2016b,87,1016b,22289
9,ASV4,ASV27,110_2019,110_2019,2019,110,1027_1342,145
382,ASV4,ASV27,92_2017,1027_2017,2017,92,1027_1342,46469
526,ASV4,ASV27,234_2016a,1027_2016a,2016a,234,1027_1342,6832
577,ASV4,ASV27,100_2016b,1027_2016b,2016b,100,1027_1342,5925
2,ASV9,ASV59,100_2017,1029b_2017,2017,100,1029b,13333
343,ASV2,,44_2017,1046_2017,2017,44,1046b,19844
554,ASV2,,59_2016b,1046_2016b,2016b,59,1046b,8853
539,ASV10,ASV9,NA_2016a,1046_2016a,2016a,NA,1046b_x,44917
164,ASV19,,207_2017,1058_2017,2017,207,1058b,2996
114,ASV15,ASV4,174_2017,1082_2017,2017,174,1082_1430,26968
218,ASV4,,257_2019,257_2019,2019,257,1082_1430,7
587,ASV15,,128_2016b,1082_2016b,2016b,128,1082_1430,5631
35,ASV6,,130_2017,1128_2017,2017,130,1128_1288,21721
670,ASV6,,133_2018,133_2018,2018,133,1128_1288,7
680,ASV6,,16_2019,16_2019,2019,16,1128_1288,290
98,ASV27,,167_2017,1160_2017,2017,167,1160_1268,26845
144,ASV2,,189_2017,1177_2017,2017,189,1177_1387,30008
106,ASV126,,195_2017_1,195_2017_1,2017,195,1183_1453,34
154,ASV9,ASV46,195_2017,1183_2017,2017,195,1183_1453,1161
29,ASV60,ASV16,12_2014,12_635_2014,2014,12,12_635,8619
140,ASV16,ASV60,11_2015a - Pre,10b_2015a,2015a - Pre,11,12_635,8826
158,ASV16,ASV60,91_2015a - Post,12_574_635_2015a,2015a - Post,91,12_635,7390
222,ASV16,ASV60,10_2015b,635_2015b,2015b,10,12_635,13134
283,ASV2,ASV15,159_2015b,122b_2015b,2015b,159,122b,2016
296,ASV205,,332_2017,1241_2017,2017,332,1241_1267,64
171,ASV140,,122_2015a - Post,126b_2015a,2015a - Post,122,126b,897
668,ASV17,,33_2019,33_2019,2019,33,1298_1338,26
172,ASV6,ASV45,126_2015a - Post,131b_2015a,2015a - Post,126,131b,10465
240,ASV22,ASV174,41_2015b,131c_2015b,2015b,41,131c,4126
21,ASV4,,120_2018,120_2018,2018,120,183_1114_1340,98
99,ASV26,,168_2015c,183_1114_2015c,2015c,168,183_1114_1340,11
243,ASV26,,28_2019,28_2019,2019,28,183_1114_1340,37
371,ASV4,,69_2017,1114_183_2017,2017,69,183_1114_1340,8934
632,ASV4,ASV42,183_2014,183_1114_2014,2014,183,183_1114_1340,8778
388,ASV7,,188_2014,191_2014,2014,188,188_971,1045
437,ASV7,,196_2015c,188_971_2015c,2015c,196,188_971,1209
513,ASV7,,191_2016a,188_971_2016a,2016a,191,188_971,2041
205,ASV14,,25_2019,25_2019,2019,25,200_972_1336,5
313,ASV14,ASV6,351_2017,972_2017,2017,351,200_972_1336,7551
352,ASV14,,49_2018,49_2018,2018,49,200_972_1336,109
391,ASV14,,200_2014,314_1088_2014,2014,200,200_972_1336,20496
440,ASV14,ASV6,205_2015c,200_972_2015c,2015c,205,200_972_1336,16645
516,ASV14,ASV6,195_2016a,200_972_2016a,2016a,195,200_972_1336,6419
303,ASV4,ASV27,250_2015b,314_2015b,2015b,250,314b_1088_1263,7977
458,ASV27,ASV4,482_2015c,314_1088_2015c,2015c,482,314b_1088_1263,2225
107,ASV9,,223_2017_2,223_2017_2,2017,223,314c_1088,62
6,ASV9,ASV4,108_2018,108_2018,2018,108,314c_1088_1263,1875
133,ASV9,ASV4,184_2019,184_2019,2019,184,314c_1088_1263,408
173,ASV9,ASV4,223_2017,1088_2017,2017,223,314c_1088_1263,971
496,ASV9,ASV4,111_2016a,314_1088_2016a,2016a,111,314c_1088_1263,16641
605,ASV9,ASV4,177_2016b,314_1088_2016b_1,2016b,177,314c_1088_1263,10081
130,ASV2,,182_2019,182_2019,2019,182,354_1439,101
191,ASV2,,239_2017,354_2017,2017,239,354_1439,10617
314,ASV2,,264_2015b,354_2015b,2015b,264,354_1439,9624
319,ASV2,,239_2017_FQ,KI17FQ239,2017,239,354_1439,24
393,ASV2,,354_2014,361_2014,2014,354,354_1439,118
460,ASV2,,497_2015c,354_2015c,2015c,497,354_1439,1307
500,ASV2,,125_2016a,354_2016a,2016a,125,354_1439,361
607,ASV2,,184_2016b,354_2016b,2016b,184,354_1439,15616
85,ASV16,,517_2015c,517_2015c,2015c,517,361b,4
318,ASV25,,267_2015b,361_2015b,2015b,267,361b,16932
502,ASV25,,128_2016a,361_2016a,2016a,128,361b,11252
335,ASV15,ASV2,400_2015c,374_891_1294_2015c,2015c,400,374_891_1294,2737
357,ASV2,,51_2017,891_2017,2017,51,374_891_1294,3708
359,ASV2,ASV15,55_2019,55_2019,2019,55,374_891_1294,2534
380,ASV2,ASV15,87_2018,87_2018,2018,87,374_891_1294,596
647,ASV15,ASV2,374_2014,374_891_2014,2014,374,374_891_1294,9573
648,ASV7,ASV28,383_2014,383_895_2014,2014,383,383_895,79
80,ASV27,ASV4,337_2015c,337_2015c,2015c,337,387b,196
254,ASV27,ASV4,58_2015b,387_2015b,2015b,58,387b,6255
360,ASV4,ASV10,55_2017,1103_407_2017,2017,55,407_1103_1378,8059
385,ASV2,,98_2018,98_2018,2018,98,407_1103_1378,62
650,ASV4,,407_2014,407_1103_2014,2014,407,407_1103_1378,8496
338,ASV2,,417_2015c,407_1103_2015c,2015c,417,407b,1384
340,ASV19,,423_2015c,416_1104_2015c,2015c,423,416_1104,21
363,ASV19,,58_2017,1104_416_2017,2017,58,416_1104,615
341,ASV19,,424_2015c,420_2015c,2015c,424,420b,89
362,ASV19,,57_2017,420_2017,2017,57,420b,7861
256,ASV16,,63_2015b,434_2015b,2015b,63,434b,2930
208,ASV9,,251_2018,251_2018,2018,251,441_1304,25
263,ASV4,ASV10,74_2015b,441_2015b,2015b,74,441_1304,12754
396,ASV4,,441_2014,499_2014,2014,441,441_1304,301
452,ASV4,,354_2015c,441_2015c,2015c,354,441_1304,1606
486,ASV9,ASV28,85_2016a,441_2016a,2016a,85,441_1304,2584
586,ASV28,,127_2016b,441_2016b,2016b,127,441_1304,1475
82,ASV2,,353_2015c,353_2015c,2015c,353,445_683,153
268,ASV10,,133_2015b,445_683_2015b,2015b,133,445_683,6129
655,ASV10,,445_2014,445_683_2014,2014,445,445_683,13063
100,ASV41,ASV22,451_2014,451_2014,2014,451,451_871,7116
199,ASV41,ASV22,158_2015a - Post,451_2015a,2015a - Post,158,451_871,4980
276,ASV41,ASV22,141_2015b,451_2015b,2015b,141,451_871,9626
426,ASV41,ASV22,84_2015c,451_871_2015c,2015c,84,451_871,1443
481,ASV41,ASV22,65_2016a,451_871_2016a,2016a,65,451_871,70910
269,ASV93,ASV6,304_2017,1073_2017,2017,304,578_1073,11996
398,ASV7,,27_2015a - Pre,578_1073_2015a,2015a - Pre,27,578_1073,4446
407,ASV7,,76_2015b,578_1073_2015b,2015b,76,578_1073,265
428,ASV7,,97_2015c,578_1073_2015c,2015c,97,578_1073,12526
504,ASV93,ASV6,149_2016a,578_1073_2016a,2016a,149,578_1073,9283
581,ASV93,ASV6,116_2016b,578_1073_2016b,2016b,116,578_1073,9748
408,ASV7,,79_2015b,580_2015b,2015b,79,580b,190
429,ASV7,,99_2015c,580_2015c,2015c,99,580b,7628
505,ASV32,,150_2016a,580_2016a,2016a,150,580c,2640
274,ASV9,,307_2017,585_2017,2017,307,585_1262,20803
373,ASV9,,72_2018,72_2018,2018,72,585_1262,13
400,ASV9,ASV46,34_2015a - Pre,585_2015a,2015a - Pre,34,585_1262,1580
430,ASV9,ASV46,106_2015c,585_2015c,2015c,106,585_1262,9832
506,ASV9,ASV46,152_2016a,585_2016a,2016a,152,585_1262,4742
580,ASV6,ASV126,114_2016b,585_2016b,2016b,114,585_1262x,13097
404,ASV7,,69_2015a - Pre,620_1229_2015a,2015a - Pre,69,620_1229,1189
433,ASV7,,134_2015c,620_1229_2015c,2015c,134,620_1229,6972
509,ASV7,,162_2016a,620_1229_2016a,2016a,162,620_1229,7945
69,ASV7,,155_2017,1150_2017,2017,155,669_1074,4800
325,ASV19,,37_2015c,669_1074_2015c,2015c,37,669_1074,140
582,ASV7,,117_2016b,669_1074_2016b,2016b,117,669_1074,4031
25,ASV39,,123_2015b,677_1151_2015b,2015b,123,677_1151,312
75,ASV7,,158_2017,1152_2017,2017,158,677_1151,5809
584,ASV7,,120_2016b,677_1151_2016b,2016b,120,677_1151,10771
138,ASV70,,186_2017,1083_2017,2017,186,682_1083,26183
211,ASV70,,253_2019,253_2019,2019,253,682_1083,79
266,ASV70,ASV7,128_2015b,126b_2015b,2015b,128,682_1083,5721
281,ASV70,ASV7,314_2015c,682_1083_2015c,2015c,314,682_1083,428
367,ASV7,,61_2018,61_2018,2018,61,682_1083,12
588,ASV70,,129_2016b,682_1083_2016b,2016b,129,682_1083,5713
131,ASV2,,6_2015a - Pre,6b_2015a,2015a - Pre,6,6b,2332
332,ASV166,,390_2015c,884_2015c,2015c,390,70_884,34
618,ASV166,,70_2014,70_2014,2014,70,70_884,5834
411,ASV4,ASV10,223_2015b,746_1058_2015b,2015b,223,746_1058,787
457,ASV4,ASV10,454_2015c,746_1058_2015c,2015c,454,746_1058,5327
467,ASV4,ASV10,12_2016a,746_1058_2016a,2016a,12,746_1058,9390
548,ASV4,ASV10,20_2016b,746_1058_2016b,2016b,20,746_1058,8346
549,ASV22,,33_2016b,790_2016b,2016b,33,790b,7156
413,ASV59,ASV6,290_2015b,794_946_2015b,2015b,290,794_946,1232
443,ASV59,ASV6,262_2015c,794_946_2015c,2015c,262,794_946,393
494,ASV6,ASV59,105_2016a,794_946_2016a,2016a,105,794_946,3877
562,ASV59,ASV6,67_2016b,794_946_2016b,2016b,67,794_946,16966
70,ASV2,,156_2019,156_2019,2019,156,794b_946,37
127,ASV2,,18_2017,946_2017,2017,18,794b_946,9886
125,ASV2,,182_2018,182_2018,2018,182,810c_1436,1160
244,ASV32,,28_2017,816_2017,2017,28,816b,14843
489,ASV32,,97_2016a,816_2016a,2016a,97,816b,6292
90,ASV2,,161_2019,161_2019,2019,161,818_1350,114
115,ASV2,ASV49,175_2018,175_2018,2018,175,818_1350,248
165,ASV2,ASV49,21_2017,818_2017,2017,21,818_1350,15800
415,ASV81,ASV26,314_2015b,818_2015b,2015b,314,818_1350,3530
444,ASV2,,269_2015c,818_2015c,2015c,269,818_1350,85
488,ASV26,ASV81,92_2016a,818_2016a,2016a,92,818_1350,12888
550,ASV81,ASV26,35_2016b,818_2016b,2016b,35,818_1350,11022
312,ASV2,ASV17,35_2017,821_2017,2017,35,821b,18029
419,ASV10,ASV4,330_2015b,834_947_2015b,2015b,330,834_947_1437,8778
448,ASV14,,295_2015c,834_947_2015c,2015c,295,834_947_1437,17
495,ASV10,,106_2016a,834_947_2016a,2016a,106,834_947_1437,2747
551,ASV10,,40_2016b,839_2016b,2016b,40,834_947_1437,8463
120,ASV4,,177_2019,177_2019,2019,177,842_1090,9
186,ASV4,ASV42,234_2017,1090_2017,2017,234,842_1090,21288
327,ASV4,ASV42,338_2015b,842_2015b,2015b,338,842_1090,8240
462,ASV4,ASV42,522_2015c,842_1090_2015c,2015c,522,842_1090,3961
499,ASV4,,124_2016a,842_1090_2016a,2016a,124,842_1090,1716
609,ASV4,ASV42,188_2016b,842_1090_2016b,2016b,188,842_1090,20518
606,ASV10,ASV4,179_2016b,853_2016b,2016b,179,853b,8074
225,ASV28,ASV7,13_2015b,87b_2015b,2015b,13,87b,13490
475,ASV10,ASV4,46_2016a,87c_2016a,2016a,46,87c,3232
134,ASV27,ASV15,8_2015a - Pre,87d_2015a,2015a - Pre,8,87d,661
89,ASV2,,161_2018,161_2018,2018,161,8b_934,353
156,ASV2,,87_2015a - Post,8b_934_2015a,2015a - Post,87,8b_934,6724
219,ASV2,,6_2015b,8b_934_2015b,2015b,6,8b_934,7405
365,ASV2,,6_2017,8b_934_2017,2017,6,8b_934,36759
480,ASV2,,63_2016a,8b_934_2016a,2016a,63,8b_934,17612
547,ASV2,,10_2016b,8b_934_2016b,2016b,10,8b_934,6905
5,ASV9,,105_2017,905_2017,2017,105,905_1308,4096
33,ASV9,,13_2019,13_2019,2019,13,905_1308,23
38,ASV9,,134_2018,134_2018,2018,134,905_1308,72
468,ASV9,,23_2016a,905_2016a,2016a,23,905_1308,1254
603,ASV9,ASV10,170_2016b,905_2016b,2016b,170,905_1308,2026
600,ASV2,,162_2016b,913_2016b,2016b,162,913b,1496
23,ASV25,ASV91,120_2017,917b_2017,2017,120,917b,22427
157,ASV10,,201_2019,201_2019,2019,201,924b,34
544,ASV4,,5_2016b,924_2016b,2016b,5,924b,1417
315,ASV142,ASV16,352_2017,971b_2017,2017,352,971b,12764
214,ASV16,ASV25,254_2017,974_2017,2017,254,974b,14282
220,ASV4,,257_2017,978_2017,2017,257,978_1358,33932
279,ASV4,,312_2019,312_2019,2019,312,978_1358,799
128,ASV2,,181_2016a,996_2016a,2016a,181,996_1379,277
235,ASV2,,271_2017,996_2017,2017,271,996_1379,17487
594,ASV2,,151_2016b,996_2016b,2016b,151,996_1379,1251
